source,target,weight,distance
1268,4788,28,31941.75214
1268,7658,11,58745.5298
1268,8209,11,63832.99649
1268,4349,14,27966.70548
1268,2157,29,12019.10557
1268,7329,16,55983.8719
1269,375,36,16096.16362
1269,482,38,18352.73192
1269,710,37,10277.26272
1269,818,70,11683.93934
1269,4678,66,30959.50575
1269,5526,15,51003.22871
1269,8414,132,65074.37966
1269,2157,73,11292.51937
1270,269,33,14187.31429
1270,378,31,14396.5495
1270,379,47,13577.20483
1270,482,13,19279.44547
1270,600,29,11641.03826
1270,601,32,10797.24472
1270,710,24,11160.336
1270,818,78,12626.60929
1270,1683,15,27248.217
1270,2451,13,30963.62935
1270,2562,13,30411.38029
1270,4678,75,31007.57927
1270,8420,11,64880.32693
1348,818,22,20582.19777
1348,1041,12,23156.97664
1348,1154,11,26033.86096
1348,2451,27,10424.30558
1348,2561,18,11384.27981
1348,2450,23,10182.45911
1350,818,15,18651.15339
1351,482,17,13579.68669
1351,818,32,17691.13304
1351,2561,15,10982.98029
1353,379,25,18327.33234
1353,2451,23,10182.1602
1353,2452,18,10034.17821
1353,2561,16,11162.93159
1353,2450,29,10424.10157
1353,2563,18,10982.76454
1353,6216,11,49565.25624
1354,818,19,14841.59142
1354,2451,27,10423.99918
1354,2561,27,11383.9452
1354,2450,28,10753.55957
1354,4112,15,26206.38188
1355,818,15,13905.38537
1355,927,13,12628.28428
1355,928,14,13579.00754
1355,2561,15,11686.36009
1355,5872,13,41525.83344
1355,1481,11,16004.5007
1355,2450,35,11162.87647
1355,6139,18,68900.23019
1357,600,13,14740.14154
1357,818,27,12062.96981
1357,928,13,11685.2524
1357,1038,12,11382.81011
1357,1808,12,11685.25258
1357,2450,27,12187.36897
1357,1700,14,13319.36182
1357,3723,12,59694.56192
1360,6511,24,50616.96147
1360,6512,21,50251.03307
1361,2451,56,14119.55674
1361,2561,27,14842.33408
1361,2450,31,14842.40731
1362,489,38,10612.16228
1362,1378,28,15972.19509
1362,2451,36,14842.26007
1362,6204,17,43972.03625
1362,6205,20,44028.44225
1362,6207,19,44208.71722
1362,6317,13,45200.79234
1362,2465,99,10422.85608
1362,2568,57,11685.54757
1362,2450,33,15595.55946
1362,5426,11,37422.37118
1363,379,22,10798.30003
1363,2451,16,15595.40455
1363,6317,11,45101.2338
1363,2465,35,10180.94212
1363,3235,17,17088.5461
1363,6876,19,51572.85993
1364,379,55,10278.10826
1364,2561,21,17001.94315
1364,5443,25,38013.28541
1364,2450,25,17177.00984
1364,7536,21,57171.77002
1365,1243,11,12022.00944
1365,2341,12,16616.41262
1365,1381,22,15971.70148
1365,8407,16,63922.60373
1366,2465,11,10032.8746
1366,6312,12,45101.69062
1367,2465,61,10180.73561
1367,2687,48,11979.51729
1367,4013,18,24695.64945
1367,7536,12,56619.18007
1367,8414,14,64269.48213
1367,8861,28,69302.7238
1368,2686,48,12144.75976
1368,6987,165,51696.71528
1368,1244,26,14012.5589
1368,8746,24,67357.29638
1368,8968,19,69597.57912
1368,8861,20,69107.98969
1369,2561,15,21060.49881
1369,7203,22,53057.83607
1369,4236,12,26878.34734
1369,1460,12,18995.25302
